ICP_Score,Company,City,State,Phone,MC_Number,DOT_Number,Called,Outcome,Notes,Power_Units
85,CHISHOLM TRAIL TRUCKING LLC,JOSHUA,TX,(972) 310-9964,MC1093934,3399400,,,,2
85,WINNERSCIRCLE TRANSPORT LLC,HOUSTON,TX,(713) 440-8310,MC1093614,3398775,,,,5
85,MONARCA TRANSPORT LLC,EAGLE PASS,TX,(830) 776-6066,MC1071051,3350424,,,,1
85,CJ EXPRESS TRUCKING LLC,HASLET,TX,(214) 918-0486,MC1093266,3398050,,,,1
85,NEW BEGINNINGS TRUCKING LLC,AUBREY,TX,(318) 458-8025,MC1114244,3222268,,,,1
85,EDASO LOGISTICS LLC,BENBROOK,TX,(817) 948-6446,MC1143956,3262254,,,,3
85,ROMAN CARRIER LLC,PORTER,TX,(832) 853-5910,MC1148485,3330337,,,,2
85,URBINA TRUCKING LLC,LAREDO,TX,(956) 786-9523,MC1220415,3561527,,,,1
85,BCT LOGISTICS LLC,BULLARD,TX,(361) 541-9400,MC1238531,3623354,,,,1
85,EMPIRE JS LOGISTICS LLC,ANNA,TX,(903) 278-6267,MC1190826,3553351,,,,2
85,RDCS TRUCKING SERVICES LLC,HOUSTON,TX,(832) 874-1487,MC1263132,3657453,,,,1
85,DHK EXPRESS LLC,FORNEY,TX,(469) 877-3593,MC1243533,3630365,,,,2
85,TEXAS INTERSTATE TRUCKING LLC,HOUSTON,TX,(832) 888-7111,MC1229384,3610140,,,,1
85,AMERICAN SUCCESSFUL TRUCKING LLC,FORTH WORTH,TX,(817) 994-7184,MC1180541,3538475,,,,22
85,STN TRUCKING LLC,SAN ANTONIO,TX,(210) 762-0159,MC1198734,3564939,,,,1
85,A VALDEZ LOGISTICS LLC,HOUSTON,TX,(832) 438-7349,MC1264468,3659320,,,,5
85,AGILE EXPRESS LLC,FRISCO,TX,(909) 499-1408,MC1383157,3821739,,,,1
85,J TEAM TRANSPORT LLC,CONROE,TX,(936) 218-4992,MC1309326,3720481,,,,1
85,ARMY TRANSPORT LLC,IRVING,TX,(214) 699-8022,MC1266453,3662002,,,,10
85,BJAY LOGISTICS LLC,DENTON,TX,(281) 372-9633,MC1343609,3767405,,,,4
85,KALU LOGISTICS LLC,ROUND ROCK,TX,(737) 900-9025,MC1318219,3732630,,,,6
85,ABRAHAM EXPRESS LLC,HOUSTON,TX,(781) 990-9060,MC1359778,3789689,,,,1
85,MONREAL TRUCKING LLC,FRIONA,TX,(806) 346-3541,MC1268159,3275321,,,,2
85,TIA RYHAN TRUCKING LLC,MELISSA,TX,(210) 724-0152,MC1419845,3874951,,,,1
85,H BROWN EXPRESS LLC,EDINBURG,TX,(956) 929-7282,MC1453501,3925774,,,,1
85,MCQUEEN LOGISTICS LLC,FORT WORTH,TX,(682) 310-7000,MC1459807,3935277,,,,1
85,EBU LOGISTICS LLC,GARLAND,TX,(920) 204-3183,MC1452837,3924790,,,,1
85,KALIX RULLIER TRANSPORT LLC,HOUSTON,TX,(832) 730-8153,MC1435823,3863480,,,,3
85,HAY HAULER TRUCKING LLC,PASADENA,TX,(832) 909-9664,MC1410960,3861783,,,,3
85,UNITED BROS CARGO LLC,KATY,TX,(832) 938-2557,MC1412119,3863503,,,,4
85,BEST EXPRESS LLC,HOUSTON,TX,(408) 744-2552,MC1399268,3844506,,,,5
85,LDH EXPRESS LLC,KATY,TX,(786) 301-1148,MC1411264,3414582,,,,3
85,ZENA TRANSPORT LLC,KINGSWOOD,TX,(786) 760-6055,MC1552734,4081284,,,,6
85,TURBO KING TRUCKING LLC,LAREDO,TX,(956) 652-0764,MC1532731,4047102,,,,1
85,YEMA TRUCKING LLC,GARLAND,TX,(510) 200-3353,MC1521293,4028409,,,,1
85,FAMILY FREIGHT WAY LLC,HOUSTON,TX,(907) 209-6305,MC1516809,3959082,,,,1
85,TORRE BLANCA TRANSPORT LLC,KERMIT,TX,(786) 564-8770,MC1531743,4045381,,,,1
85,HOSTILE LOGISTICS LLC,ODESSA,TX,(432) 202-4670,MC1560623,4094616,,,,6
85,SOMBREROS TRANSPORT LLC,LAREDO,TX,(956) 775-3060,MC1539530,4058642,,,,1
85,INNOVATE EXPRESS LLC,SAN ANTONIO,TX,(616) 426-0986,MC1538430,4056696,,,,4
85,PRO COASTAL TRANSPORT LLC,HOUSTON,TX,(832) 859-8868,MC1517961,4023085,,,,2
85,UMC LOGISTICS LLC,HOUSTON,TX,(346) 276-7747,MC1534542,4050194,,,,1
85,SB CARRIER LLC,HOUSTON,TX,(956) 962-2847,MC1515113,4018598,,,,6
85,NETWORK TRUCKING LLC,FORT WORTH,TX,(585) 704-5797,MC1577527,4123457,,,,1
85,VIMAC EXPRESS LLC,LAREDO,TX,(956) 327-9086,MC1497499,3991473,,,,5
85,IVAN H EXPRESS LLC,KATY,TX,(832) 322-3167,MC1521474,4028722,,,,1
85,PRESTIGIOUS LOGISTICS LLC,GLADEWATER,TX,(913) 549-2146,MC1531376,3722418,,,,5
85,RBL LOGISTICS LLC,LAREDO,TX,(214) 293-9356,MC1543348,4065329,,,,1
85,TEXAS RANGERS LOGISTICS LLC,HOUSTON,TX,(832) 270-9992,MC1651358,4257657,,,,1
85,AMERIVENZ TRANSPORT LLC,EVANT,TX,(908) 536-4930,MC1589603,4144269,,,,2
85,MERIDIAN TRUCKING LLC,MIDLAND,TX,(432) 661-3999,MC1588298,4142003,,,,18
85,SALINA NATION LOGISTICS LLC,HOUSTON,TX,(832) 562-8271,MC1660177,4273757,,,,2
85,MIGUE LOGISTICS LLC,ROUND ROCK,TX,(512) 783-5017,MC1673131,3841133,,,,1
85,ZIG LOGISTICS LLC,HOUSTON,TX,(346) 426-7201,MC1696491,4341730,,,,2
85,TRUCKING KRISS LLC,HOUSTON,TX,(713) 614-3490,MC1626888,4207879,,,,2
85,RP TRANSPORT LLC,MISSION,TX,(956) 997-1090,MC1670008,4202109,,,,3
85,VERGARA TRANSPORT LLC,EL PASO,TX,(915) 246-4448,MC1693806,4327911,,,,1
85,KAY ANNE LOGISTICS LLC,FORT WORTH,TX,(682) 299-7692,MC1657906,4269540,,,,1
85,EFO TRANSPORT LLC,CYPRESS,TX,(503) 432-0935,MC1676777,4304256,,,,1
85,GODIRECT TRUCKING LLC,HOUSTON,TX,(832) 253-4518,MC1694225,4337311,,,,3
85,SFO LOGISTICS LLC,HOUSTON,TX,(346) 256-3774,MC1640747,4060785,,,,3
85,ELFER TRANSPORT LLC,CYPRESS,TX,(832) 689-6442,MC1621566,4202561,,,,1
85,MED TRANSPORT LLC,HOUSTON,TX,(732) 692-4099,MC1676836,4304369,,,,1
85,AMAE LOGISTICS LLC,HOUSTON,TX,(832) 778-3968,MC1773320,4487304,,,,1
85,MOON LEVEL TRUCKING LLC,DENISON,TX,(430) 262-0613,MC1714285,4375208,,,,1
85,LWOOD LOGISTICS LLC,FORT WORTH,TX,(817) 832-4330,MC1711272,4369720,,,,2
85,PRIMEHAUL TRANSPORT LLC,AUSTIN,TX,(737) 297-0873,MC1784204,4505200,,,,1
85,RCV TRANSPORT LLC,HEARTLAND,TX,(682) 450-8998,MC1734007,4413297,,,,1
85,QUEST GIDEON TRANSPORT LLC,MIDLAND,TX,(432) 599-4818,MC1792367,4523075,,,,2
85,CCA HAULING LLC,GREENVILLE,TX,(940) 331-1825,MC1735438,4415958,,,,1
85,DDR TRUCKING LLC,CYPRESS,TX,(346) 504-6278,MC1801141,4539375,,,,1
85,CEMA TRUCKING LLC,HIDALGO,TX,(956) 907-1317,MC1703232,4354775,,,,3
85,STARLAKE EXPRESS LLC,HOUSTON,TX,(346) 874-0020,MC1802822,4542460,,,,2
85,DETUX LOGISTICS LLC,PLANO,TX,(972) 267-3398,MC1802969,4542693,,,,0
85,QUICK SHOT LOGISTICS LLC,LUBBOCK,TX,(806) 549-3682,MC1803253,4543193,,,,1
85,BAIMA LOGISTICS LLC,ROCKWALL,TX,(469) 887-0541,MC1734051,4413374,,,,2
85,JBZ TRANSPORT LLC,LAREDO,TX,(956) 482-4725,MC1707741,4363190,,,,1
85,ROADRUNNER INTERSTATE TRANSPORT LLC,FLOWER MOUND,TX,(945) 266-1166,MC1799744,4536812,,,,1
85,BOOTLEGGER LOGISTICS LLC,MCALLEN,TX,(956) 374-8938,MC1790077,4518405,,,,3
85,TTL TRANSPORT LLC,LOCKHART,TX,(512) 995-0713,MC1728706,4403144,,,,1
85,YEEHAW LOGISTICS LLC,WAXAHACHIE,TX,(214) 695-2259,MC1800294,4537842,,,,1
85,DOUBLE JDN LOGISTICS LLC,HEREFORD,TX,(806) 206-7402,MC1793713,4525577,,,,1
85,IRON BRUTE LOGISTICS LLC,OVERTON,TX,(903) 987-0998,MC1802271,4541424,,,,1
85,MSO TRUCKING LLC,KERMIT,TX,(325) 274-5654,MC1715970,4357814,,,,1
85,PANTERA GROUND LOGISTICS LLC,LAREDO,TX,(956) 334-2527,MC1744966,4433956,,,,3
85,DJ TRANSPORT EXPRESS LLC,HOUSTON,TX,(832) 829-6902,MC1797057,4508047,,,,2
85,STARLIGHT LOGISTICS LLC,CELINA,TX,(469) 428-1660,MC1798322,4534155,,,,1
85,KCCE TRANSPORT LLC,MISSION,TX,(971) 268-0316,MC1786168,4511408,,,,1
85,MITCHELL TRANSPORT LLC,FORNEY,TX,(469) 901-0933,MC1739928,4330934,,,,1
85,HAULING MATTER LLC,SAN ANTONIO,TX,(210) 243-2104,MC1786678,4153866,,,,1
85,TLBJ EXPRESS LLC,HOUSTON,TX,(832) 969-8473,MC1802039,4540995,,,,1
85,SOUTH FORK TRANSPORT LLC,DENTON,TX,(940) 275-6800,MC1784361,4508128,,,,1
85,CHAMELEON TRUCKING SERVICES LLC,ODESSA,TX,(432) 231-2060,MC1792405,4210102,,,,4
85,UNLIMITED GROUND LOGISTICS LLC,PECOS,TX,(936) 330-9667,MC1736174,4417370,,,,1
85,ROGAZELLE LOGISTICS LLC,HOUSTON,TX,(832) 491-6502,MC1730497,4368539,,,,1
85,WRIGHT CARRIER SERVICES LLC,SPICEWOOD,TX,(702) 580-4790,MC1772553,4485947,,,,3
85,MAXMOVE EXPRESS LLC,DALLAS,TX,(801) 471-9969,MC1734373,4413987,,,,1
85,FIRST CLASS LOGISTICS LLC,SAN ANTONIO,TX,(832) 594-6165,MC1789602,4517887,,,,1
85,GUANABO TRANSPORT LLC,HOUSTON,TX,(346) 538-1257,MC1801389,4498964,,,,1
85,AFS TRANSPORT LLC,SUMNER,TX,(625) 102-3941,MC1759613,4461650,,,,1
85,DIVINE PROVIDENCE LOGISTICS LLC,FULSHEAR,TX,(713) 565-2025,MC1742797,4429721,,,,1
85,ATAL TRUCKING LLC,AUSTIN,TX,(512) 785-9025,MC1715293,4377179,,,,1
85,GOOD SHEPHERD TRUCKING LLC,JOAQUIN,TX,(903) 263-4208,MC1773671,4488103,,,,1
85,SCK LOGISTICS LLC,FORT WORTH TX,TX,(817) 880-1512,MC1713474,4373752,,,,1
85,SAFE RUN TRANSPORT LLC,TOMBALL,TX,(832) 350-3910,MC1800860,4538850,,,,1
85,JCJR TRUCKING LLC,EL PASO,TX,(915) 491-5041,MC1802560,4541976,,,,1
85,TANGO EXPRESS LLC,ODESSA,TX,(432) 967-1771,MC1802549,4541957,,,,1
85,MAGA EXPRESS LLC,ROCKFORD,IL,(779) 368-5165,MC570841,1532134,,,,7
85,EE TRUCKING LOVE LLC,LOCUST GROVE,GA,(404) 484-8721,MC581969,947704,,,,2
85,REDMAN TRUCKING LLC,ORLANDO,FL,(407) 484-3802,MC642227,1738202,,,,1
85,HMC LOGISTICS LLC,WEEKI WACHEE,FL,(813) 368-1314,MC661357,1822301,,,,1
85,GARY PATTERSON TRUCKING LLC,GREENVILLE,PA,(724) 456-9064,MC680568,525147,,,,2
85,ELWAK TRANSPORT LLC,STONE MOUNTAIN,GA,(470) 985-6810,MC738173,1976640,,,,2
85,COLAMERICA TRUCKING LLC,ENGLEWOOD,NJ,(201) 937-2688,MC727614,2084754,,,,1
85,ANGELINE EXPRESS LLC,BOCA RATON,FL,(561) 674-3465,MC746584,2146318,,,,1
85,SAMS TRUCKING LLC,EXCELSIOR SPRINGS,MO,(816) 516-6184,MC749517,588855,,,,1
85,ALL STAR TRANSPORT LLC,HUDSON,FL,(786) 206-7727,MC758753,1722394,,,,3
85,NEVER SEEN EXPRESS LLC,WINTER HAVEN,FL,(863) 934-8863,MC782407,2285506,,,,1
85,LEES AUTO TRANSPORT LLC,HAMPSTEAD,NC,(910) 520-1115,MC776388,2273258,,,,1
85,BACKROADS TRUCKING LLC,COLUMBIAVILLE,MI,(810) 656-6965,MC810186,2363588,,,,1
85,SUPERMAN EXPRESS LLC,COLUQUITT,GA,(800) 296-2114,MC815473,2375778,,,,1
85,SAFE LINE TRUCKING LLC,ALLENTOWN,PA,(484) 424-2053,MC815386,2375563,,,,1
85,JAMES GANG TRUCKING LLC,LAWNDALE,NC,(704) 466-9134,MC807859,2359277,,,,2
85,DAVID LEE TRANSPORT LLC,MILFORD,IN,(574) 202-0162,MC797890,2336835,,,,1
85,RIDEOUT EXPRESS LLC,STATESVILLE,NC,(704) 999-3061,MC784356,2297037,,,,1
85,MOONSTAR EXPRESS LLC,DAYTON,OH,(208) 371-5368,MC817338,2380041,,,,3
85,LARRY LAKEY TRUCKING LLC,ALDRICH,MO,(417) 694-8012,MC819621,2385503,,,,5
85,D ROB TRUCKING LLC,LITHIA SPRINGS,GA,(770) 905-3102,MC817382,2380115,,,,1
85,AMERICAN EAGLE EXPRESS LLC,SPRINGBORO,OH,(937) 242-3579,MC833351,2419820,,,,1
85,TUN EXPRESS LLC,KISSIMMEE,FL,(321) 206-1814,MC856995,2477257,,,,60
85,MVS LOGISTICS LLC,NEWARK,NJ,(845) 624-9399,MC849306,2458723,,,,1
85,JASMINE TRANSPORT LLC,YUBA CITY,CA,(530) 751-5172,MC903407,2580487,,,,1
85,LO PRINGLEY TRANSPORT LLC,QUINCY,FL,(850) 445-9614,MC902926,2579597,,,,1
85,ICM LOGISTICS LLC,VINELAND,NJ,(609) 840-0002,MC914337,2628289,,,,4
85,TOTAL EXPRESS LLC,COVINGTON,GA,(678) 294-3961,MC903784,2581155,,,,1
85,TERRY FEIJO TRUCKING LLC,TULARE,CA,(559) 686-6313,MC881321,2534707,,,,2
85,HAMER TRUCKING LLC,STONE MOUNTAIN,GA,(678) 812-9964,MC915414,2630532,,,,2
85,HAWK TRUCKING LLC,SECAUCAS,NJ,(908) 377-0436,MC900052,2574060,,,,1
85,CRABTREE FAMILY MOVING LLC,RALEIGH,NC,(919) 706-2679,MC887279,2507399,,,,10
85,WJ LOGISTICS LLC,MARIETTA,GA,(404) 590-2134,MC886819,2547112,,,,1
85,MZ LINE EXPRESS LLC,REPULIC,MO,(916) 642-6566,MC903877,2581382,,,,1
85,DOUBLE T TRANSPORT LLC,HARMONY,NC,(704) 450-5921,MC909442,1188460,,,,2
85,MARVEL EXPRESS LLC,LITHIA SPRINGS,GA,(678) 994-4644,MC927145,2781733,,,,5
85,BULLYS TRANSPORT LLC,BRANDON,FL,(908) 977-5678,MC945511,2830173,,,,2
85,THT TRUCKING LLC,MILLEDGEVILLE,GA,(478) 932-0126,MC988621,934008,,,,22
85,CLOUD EXPRESS LLC,WYOMISSING,PA,(484) 818-2931,MC995951,2943581,,,,2
85,DDA EXPRESS LLC,OZARK,MO,(417) 252-0412,MC962012,2869730,,,,1
85,DRIVELINE TRANSPORT LLC,SNELLVILLE,GA,(770) 688-0885,MC994382,2940773,,,,1
85,LACD TRUCKING LLC,SALIDA,CA,(209) 840-2639,MC982827,2916549,,,,1
85,ASY TRUCKING LLC,HARRISBURG,PA,(717) 999-3319,MC069481,3086369,,,,7
85,OGANDO TRANSPORT LLC,GASTONIA,NC,(980) 888-6562,MC070790,3088850,,,,2
85,DON GUITO LOGISTICS LLC,EAST WINDSOR,NJ,(609) 955-6162,MC114135,3165366,,,,1
85,EASTSIDE BULK TRANSPORT LLC,LAKE HOPATCONG,NJ,(973) 303-1200,MC029162,3011130,,,,27
85,BLUE SKY EXPRESS LLC,DELRAN,NJ,(609) 304-5524,MC037140,3026395,,,,12
85,BFF TRANSPORT LLC,WAYNESBORO,GA,(706) 871-5753,MC049775,3050934,,,,1
85,ALMODOVAR TRUCKING LLC,CALEXICO,CA,(760) 604-5942,MC063350,3074991,,,,8
85,NISMO TRUCKING LLC,PORT ST LUCIE,FL,(973) 934-3055,MC081891,3109441,,,,1
85,D F LOGISTICS LLC,CHARLOTTE,NC,(530) 605-2090,MC091307,3127502,,,,10
85,RANCHO GENARA TRANSPORT LLC,EDISON,NJ,(732) 621-9340,MC074016,3094832,,,,2
85,JUMAM TRANSPORT LLC,BANGOR,PA,(347) 591-8008,MC023351,2999596,,,,1
85,DELTA TRUCKING LLC,ARNOLD,MO,(314) 398-2112,MC071159,3089518,,,,6
85,DRG TRUCKING LLC,SAN TAN VALLEY,AZ,(480) 440-0430,MC071363,2566699,,,,1
85,BUTZ TRUCKING LLC,CORONA,CA,(951) 271-6506,MC015557,2983750,,,,2
85,KHAIZEN TRUCKING LLC,DEARBORN,MI,(313) 289-3015,MC073143,3093260,,,,25
85,JAHOUR TRANSPORT LLC,LEWIS CEN,OH,(620) 757-3095,MC064419,3076921,,,,12
85,RESERVE TRANSPORT LLC,TWINSBURG,OH,(330) 840-3298,MC070661,3088583,,,,31
85,K PERRIN TRUCKING LLC,EVERETT,PA,(814) 799-3106,MC023469,2999816,,,,2
85,RIMAL TRUCKING LLC,PITTSBURGH,PA,(877) 782-0903,MC093206,3131164,,,,5
85,STAR TRANSPORT EXPRESS LLC,FORT LAUDERDALE,FL,(954) 529-4241,MC116911,3169203,,,,1
85,YANTO EXPRESS LLC,RIDGEFIELD PARK,NJ,(551) 900-2202,MC042345,2206937,,,,1
85,ALPHA VEHICLE LOGISTICS LLC,PORT ST LUCIE,FL,(561) 674-4124,MC138402,3193510,,,,1
85,XPRESS LANE LOGISTICS LLC,HIALEAH GARDENS,FL,(954) 319-0378,MC069557,3086537,,,,1
85,YANAL TRANSPORT LLC,HAMPTON,NJ,(908) 838-1360,MC105747,3152509,,,,1
85,CERTIFIED TRUCKING LLC,DAYTON,OH,(937) 705-9579,MC110239,3160058,,,,1
85,OTW LOGISTICS LLC,MARSHVILLE,NC,(980) 858-5720,MC114454,3165849,,,,1
85,DJIBSTAR CARRIER LLC,MECHANICSBURG,PA,(443) 967-4236,MC1023416,3251589,,,,2
85,RGID TRANSPORT LLC,PHOENIX,AZ,(623) 225-0253,MC176768,3201554,,,,2
85,GTR TRUCKING LLC,TRESCOW,PA,(908) 943-2582,MC1020752,3246381,,,,18
85,WAGADOU TRANSPORT LLC,KINGS MOUNTAIN,NC,(704) 689-1292,MC132868,3188428,,,,1
85,FIRST TEAM LOGISTICS LLC,COLUMBUS,OH,(614) 668-5963,MC1014326,3233666,,,,46
85,FOSTER K LOGISTICS LLC,NASHVILLE,TN,(615) 622-5635,MC1036938,3280125,,,,6
85,TAQWA TRUCKING LLC,INGLEWOOD,CA,(323) 283-6908,MC1026974,3256026,,,,1
85,HAWK EXPRESS LLC,KNOX,PA,(814) 797-4068,MC1017980,3018006,,,,6
85,SMART LOGISTICS LLC,BUCKEYE,AZ,(442) 244-1856,MC1009387,3223711,,,,23
85,PRIORITY TRANSPORT LLC,HILLIARD,OH,(614) 325-6913,MC1033738,3273322,,,,5
85,JAMBO LOGISTICS LLC,RALEIGH,NC,(401) 442-3452,MC1117277,3440522,,,,1
85,FJ EXPRESS LLC,MEMPHIS,TN,(901) 857-5424,MC1095402,3402417,,,,1
85,BMX LOGISTICS LLC,POWDER SPGS,GA,(678) 223-3903,MC1149388,3491659,,,,1
85,NDS LOGISTICS LLC,DARBY,PA,(267) 904-9526,MC1049927,3307239,,,,2
85,SAI TRANSPORT LLC,STERLING HEIGHTS,MI,(586) 864-4032,MC1073378,3354256,,,,3
85,MBM TRUCKING LLC,BAYONNE,NJ,(201) 725-1107,MC1061929,3331899,,,,1
85,KAFE EXPRESS LLC,COLUMBUS,OH,(614) 508-3338,MC1157389,3503736,,,,4
85,CRUZ TRANSPORT LLC,EDISON,NJ,(908) 635-1904,MC1091906,3395240,,,,6
85,TOOLE LOGISTICS LLC,DURHAM,NC,(919) 519-0018,MC1147862,3489346,,,,2
85,VELASQUEZ TRUCKING LLC,EXETER,CA,(805) 651-0129,MC1071210,3350728,,,,1
85,NORTHEAST LOGISTICS LLC,RALEIGH,NC,(919) 897-0021,MC1095472,3402563,,,,1
85,HUSH LOGISTICS LLC,NORWOOD,NJ,(646) 421-7778,MC1058835,3325387,,,,2
85,GABRIEL TRUCKING LLC,WEST ORANGE,NJ,(973) 288-3476,MC1160309,3508159,,,,17
85,AMAZING LOGISTICS LLC,SAN RAMON,CA,(925) 895-5874,MC1060127,3213689,,,,0
85,MARSHALL LOGISTICS LLC,CHARLOTTE,NC,(704) 559-9118,MC1043783,3294457,,,,20
85,TREMARK LOGISTICS LLC,WESTFIELD,IN,(812) 243-1718,MC1062857,3333631,,,,50
85,FJA LOGISTICS LLC,PATERSON,NJ,(862) 763-0040,MC1092052,3395565,,,,1
85,SNM TRANSPORT LLC,GARDENA,CA,(310) 678-9523,MC1114270,3435483,,,,1
85,DMM TRUCKING LLC,DETROIT,MI,(313) 414-7353,MC1062439,3332957,,,,2
85,AUTUMN ROSE TRUCKING LLC,FAYETTEVILLE,GA,(404) 518-7028,MC1114394,3435703,,,,2
85,FUELMASTER TRANSPORT LLC,INDIANAPOLIS,IN,(317) 399-9900,MC1076356,2561307,,,,11
85,NINOSHKA TRANSPORT LLC,ROBBINSVILLE,NJ,(856) 776-9746,MC1068624,3345223,,,,3
85,REM EXPRESS LLC,LEVITTOWN,PA,(680) 800-0808,MC1054820,3317202,,,,5
85,ELITE HAULING LLC,FANNETTSBURG,PA,(717) 414-2248,MC1096607,3404821,,,,3
85,AM EXPRESS LLC,COLUMBUS,OH,(614) 795-5020,MC1089382,3390076,,,,4
85,TRIDENT LOGISTICS LLC,WASHINGTON,PA,(412) 420-6835,MC1094221,3399971,,,,3
85,RED STAR TRUCKING LLC,ASHEBORO,NC,(336) 267-6251,MC1099386,3410362,,,,1
85,NCJJ TRANSPORT LLC,SAN BERNARDINO,CA,(909) 317-7199,MC1102845,3416016,,,,1
85,TNV TRUCKING LLC,HAVELOCK,NC,(252) 665-2372,MC1048076,3303436,,,,1
85,DRT TRUCKING LLC,NEWARK,NJ,(973) 771-8620,MC1066935,3342116,,,,1
85,AME TRUCKING LLC,ATLANTA,GA,(404) 991-8778,MC1088523,3388193,,,,10
85,BIBI CARRIER LLC,FAIRFIELD,OH,(201) 899-0786,MC1116277,3438799,,,,6
85,LAND CRUISER TRUCKING LLC,UNION CITY,GA,(678) 682-4443,MC1136475,3471632,,,,2
85,AAR EXPRESS LLC,CINCINNATI,OH,(513) 259-9195,MC1127060,3451713,,,,2
85,ROGUE TRUCKING LLC,MIAMI,FL,(305) 607-6834,MC1118928,3443349,,,,1
85,STARFLEET LOGISTICS LLC,CHICAGO,IL,(312) 533-1184,MC1147010,3488038,,,,40
85,GURM EXPRESS LLC,MERCED,CA,(516) 605-7729,MC1160711,3508788,,,,1
85,SEMBHI TRUCKING LLC,INDIANAPLOIS,IN,(206) 612-9472,MC1154816,3499890,,,,2
85,MAGENTA LOGISTICS LLC,TUCSON,AZ,(619) 415-9610,MC1193101,3556718,,,,1
85,TRIPLE A TRANSPORT LLC,DEARBORN,MI,(313) 657-4819,MC1215479,3589765,,,,243
85,J TORRES LOGISTICS LLC,POMONA,NY,(845) 521-5016,MC1176806,3532927,,,,1
85,BRISENO TRANSPORT LLC,BAKERSFIELD,CA,(661) 778-8361,MC1220134,3584776,,,,4
85,BALLISTIC LOGISTICS LLC,WOLCOTTVILLE,IN,(260) 348-6003,MC1217408,3592598,,,,12
85,AGE TRANSPORT LLC,ALLENTOWN,PA,(484) 966-8730,MC1256308,3647994,,,,1
85,EMMANUEL KING EXPRESS LLC,NAPLES,FL,(239) 645-5901,MC1218377,3594003,,,,1
85,NETSERD TRUCKING LLC,MARIETTA,GA,(770) 900-2396,MC1260637,3575629,,,,2
85,TGZ LOGISTICS LLC,TOLEDO,OH,(419) 917-4805,MC1170256,3523300,,,,0
85,NZ TRUCKING LLC,FEASTERVILLE TREVOSE,PA,(646) 726-5562,MC1231398,3613112,,,,7
85,XCUSE ME TRUCKING LLC,AHOSKIE,NC,(252) 287-0338,MC1161907,3510651,,,,2
85,EPIX TRUCKING LLC,COVINGTON,GA,(701) 729-4890,MC1215130,3589259,,,,2
