ICP_Score,Company,City,State,Phone,MC_Number,DOT_Number,Called,Outcome,Notes,Power_Units,Email
85,TEXAS INTERSTATE TRUCKING LLC,HOUSTON,TX,(832) 888-7111,MC1229384,3610140,,,,1,texasinterstatetruckingllc@GMAIL.COM
85,STN TRUCKING LLC,SAN ANTONIO,TX,(210) 762-0159,MC1198734,3564939,,,,1,STNTRUCKINGLLC@GMAIL.COM
85,A VALDEZ LOGISTICS LLC,HOUSTON,TX,(832) 438-7349,MC1264468,3659320,,,,5,AVALDEZLOGISTICSLLC@GMAIL.COM
85,AGILE EXPRESS LLC,FRISCO,TX,(909) 499-1408,MC1383157,3821739,,,,1,THEAGILEEXPRESS@GMAIL.COM
85,J TEAM TRANSPORT LLC,CONROE,TX,(936) 218-4992,MC1309326,3720481,,,,1,JTEAMTRANSLLC@GMAIL.COM
85,ARMY TRANSPORT LLC,IRVING,TX,(214) 699-8022,MC1266453,3662002,,,,10,TEXASARMY21@GMAIL.COM
85,BJAY LOGISTICS LLC,DENTON,TX,(281) 372-9633,MC1343609,3767405,,,,4,TALK2BOBJOE@MYSELF.COM
85,KALU LOGISTICS LLC,ROUND ROCK,TX,(737) 900-9025,MC1318219,3732630,,,,6,KALULOGISTICSLLC@GMAIL.COM
85,ABRAHAM EXPRESS LLC,HOUSTON,TX,(781) 990-9060,MC1359778,3789689,,,,1,ABRAHAMEXPRESS22@GMAIL.COM
85,MONREAL TRUCKING LLC,FRIONA,TX,(806) 346-3541,MC1268159,3275321,,,,2,APRIL@ALLSTATESTRUCK.COM
85,TIA RYHAN TRUCKING LLC,MELISSA,TX,(210) 724-0152,MC1419845,3874951,,,,1,TIARYHANTRUCKING@GMAIL.COM
85,H BROWN EXPRESS LLC,EDINBURG,TX,(956) 929-7282,MC1453501,3925774,,,,1,H.BROWNEXPRESS@YAHOO.COM
85,MCQUEEN LOGISTICS LLC,FORT WORTH,TX,(682) 310-7000,MC1459807,3935277,,,,1,operations@mcqueenlogisticsllc.com
85,EBU LOGISTICS LLC,GARLAND,TX,(920) 204-3183,MC1452837,3924790,,,,1,EBULOGISTICSLLC@GMAIL.COM
85,KALIX RULLIER TRANSPORT LLC,HOUSTON,TX,(832) 730-8153,MC1435823,3863480,,,,3,KALIXRULLIERTLLC@GMAIL.COM
85,HAY HAULER TRUCKING LLC,PASADENA,TX,(832) 909-9664,MC1410960,3861783,,,,3,ALEJANDROIBARRA4272@YAHOO.COM
85,UNITED BROS CARGO LLC,KATY,TX,(832) 938-2557,MC1412119,3863503,,,,4,UNITEDBROSTRUCKINGLLC@GMAIL.COM
85,BEST EXPRESS LLC,HOUSTON,TX,(408) 744-2552,MC1399268,3844506,,,,5,BESTXPRESSLLC@GMAIL.COM
85,LDH EXPRESS LLC,KATY,TX,(786) 301-1148,MC1411264,3414582,,,,3,LDHEXPRESSLLC@GMAIL.COM
85,ZENA TRANSPORT LLC,KINGSWOOD,TX,(786) 760-6055,MC1552734,4081284,,,,6,ZENATRANSPORTLLC@GMAIL.COM
85,TURBO KING TRUCKING LLC,LAREDO,TX,(956) 652-0764,MC1532731,4047102,,,,1,TURBOKINGTRUCKING@GMAIL.COM
85,YEMA TRUCKING LLC,GARLAND,TX,(510) 200-3353,MC1521293,4028409,,,,1,YEMATRUCKS@GMAIL.COM
85,FAMILY FREIGHT WAY LLC,HOUSTON,TX,(907) 209-6305,MC1516809,3959082,,,,1,T.SHEPARD@FAMILYFREIGHTWAY.com
85,TORRE BLANCA TRANSPORT LLC,KERMIT,TX,(786) 564-8770,MC1531743,4045381,,,,1,maikerergz77@gmail.com
85,HOSTILE LOGISTICS LLC,ODESSA,TX,(432) 202-4670,MC1560623,4094616,,,,6,C.GARCIA@HOSTILELOGISTICS.COM
85,SOMBREROS TRANSPORT LLC,LAREDO,TX,(956) 775-3060,MC1539530,4058642,,,,1,SOMBREROS.TRANSPORT@GMAIL.COM
85,INNOVATE EXPRESS LLC,SAN ANTONIO,TX,(616) 426-0986,MC1538430,4056696,,,,4,INNOVATIVEEXPRESSLLC@GMAIL.COM
85,PRO COASTAL TRANSPORT LLC,HOUSTON,TX,(832) 859-8868,MC1517961,4023085,,,,2,PROCOASTALTRANSPORT@GMAIL.COM
85,UMC LOGISTICS LLC,HOUSTON,TX,(346) 276-7747,MC1534542,4050194,,,,1,UMCLOGISTICSLLC@YAHOO.COM
85,SB CARRIER LLC,HOUSTON,TX,(956) 962-2847,MC1515113,4018598,,,,6,SONIA@MSTAXSERVICESINC.COM
85,NETWORK TRUCKING LLC,FORT WORTH,TX,(585) 704-5797,MC1577527,4123457,,,,1,NETWORKTRUCKINGLLC04@GMAIL.CO
85,VIMAC EXPRESS LLC,LAREDO,TX,(956) 327-9086,MC1497499,3991473,,,,5,VIMACEXPRESS@GMAIL.COM
85,IVAN H EXPRESS LLC,KATY,TX,(832) 322-3167,MC1521474,4028722,,,,1,IVANHEXPRESS@GMAIL.COM
85,PRESTIGIOUS LOGISTICS LLC,GLADEWATER,TX,(913) 549-2146,MC1531376,3722418,,,,5,GRACIEMOZINGO@GMAIL.COM
85,RBL LOGISTICS LLC,LAREDO,TX,(214) 293-9356,MC1543348,4065329,,,,1,SLOPEZ@RBL-LOGISTICS.COM
85,TEXAS RANGERS LOGISTICS LLC,HOUSTON,TX,(832) 270-9992,MC1651358,4257657,,,,1,dispatch360.trl@gmail.com
85,AMERIVENZ TRANSPORT LLC,EVANT,TX,(908) 536-4930,MC1589603,4144269,,,,2,ADMIN@AMERIVENZ.COM
85,MERIDIAN TRUCKING LLC,MIDLAND,TX,(432) 661-3999,MC1588298,4142003,,,,18,OFFICE@MERIDAN-TRUCKING.COM
85,SALINA NATION LOGISTICS LLC,HOUSTON,TX,(832) 562-8271,MC1660177,4273757,,,,2,PORSHA@SALINANATION.COM
85,MIGUE LOGISTICS LLC,ROUND ROCK,TX,(512) 783-5017,MC1673131,3841133,,,,1,miguelogistics@GMAIL.COM
85,ZIG LOGISTICS LLC,HOUSTON,TX,(346) 426-7201,MC1696491,4341730,,,,2,business@ziglogistics.com
85,TRUCKING KRISS LLC,HOUSTON,TX,(713) 614-3490,MC1626888,4207879,,,,2,TRUCKINGKRISSLLC@GMAIL.COM
85,RP TRANSPORT LLC,MISSION,TX,(956) 997-1090,MC1670008,4202109,,,,3,RPTRANSPORT3399@YAHOO.COM
85,VERGARA TRANSPORT LLC,EL PASO,TX,(915) 246-4448,MC1693806,4327911,,,,1,PVERGARA0264@GMAIL.COM
85,KAY ANNE LOGISTICS LLC,FORT WORTH,TX,(682) 299-7692,MC1657906,4269540,,,,1,KAYANNELOGISTICS@GMAIL.COM
85,EFO TRANSPORT LLC,CYPRESS,TX,(503) 432-0935,MC1676777,4304256,,,,1,EFOTRANSPORT2022@GMAIL.COM
85,GODIRECT TRUCKING LLC,HOUSTON,TX,(832) 253-4518,MC1694225,4337311,,,,3,GODIRECTTRUCKING@GMAIL.COM
85,SFO LOGISTICS LLC,HOUSTON,TX,(346) 256-3774,MC1640747,4060785,,,,3,INFO@SFOLOGISTICS.COM
85,ELFER TRANSPORT LLC,CYPRESS,TX,(832) 689-6442,MC1621566,4202561,,,,1,ELFERTRANSPORTLLC@GMAIL.COM
85,MED TRANSPORT LLC,HOUSTON,TX,(732) 692-4099,MC1676836,4304369,,,,1,MEDTRANSPORTLLC4786@GMAIL.COM
85,AMAE LOGISTICS LLC,HOUSTON,TX,(832) 778-3968,MC1773320,4487304,,,,1,AMAELOGISTICS@GMAIL.COM
85,MOON LEVEL TRUCKING LLC,DENISON,TX,(430) 262-0613,MC1714285,4375208,,,,1,MOONLEVELTRUCKING@GMAIL.COM
85,LWOOD LOGISTICS LLC,FORT WORTH,TX,(817) 832-4330,MC1711272,4369720,,,,2,TOMMYLEATHERWOOD@YMAIL.COM
85,PRIMEHAUL TRANSPORT LLC,AUSTIN,TX,(737) 297-0873,MC1784204,4505200,,,,1,PRIMEHAULTRANSPORT@GMAIL.COM
85,RCV TRANSPORT LLC,HEARTLAND,TX,(682) 450-8998,MC1734007,4413297,,,,1,RCV.TRANSPORTS25@GMAILCOM.
85,QUEST GIDEON TRANSPORT LLC,MIDLAND,TX,(432) 599-4818,MC1792367,4523075,,,,2,IRENEQUINTANA80@GMAIL.COM
85,CCA HAULING LLC,GREENVILLE,TX,(940) 331-1825,MC1735438,4415958,,,,1,CCAHAULING@GMAIL.COM
85,DDR TRUCKING LLC,CYPRESS,TX,(346) 504-6278,MC1801141,4539375,,,,1,DDRTRUCKING56@GMAIL.COM
85,CEMA TRUCKING LLC,HIDALGO,TX,(956) 907-1317,MC1703232,4354775,,,,3,permits@bpointins.com
85,STARLAKE EXPRESS LLC,HOUSTON,TX,(346) 874-0020,MC1802822,4542460,,,,2,STARLAKEEXPRESSLLC@GMAIL.COM
85,QUICK SHOT LOGISTICS LLC,LUBBOCK,TX,(806) 549-3682,MC1803253,4543193,,,,1,SHAWN@QUICKSHOTLOGISTICS.NET
85,BAIMA LOGISTICS LLC,ROCKWALL,TX,(469) 887-0541,MC1734051,4413374,,,,2,BAIMALOGISTIC@GMAIL.COM
85,JBZ TRANSPORT LLC,LAREDO,TX,(956) 482-4725,MC1707741,4363190,,,,1,JBZTRANSPORT@GMAIL.COM
85,ROADRUNNER INTERSTATE TRANSPORT LLC,FLOWER MOUND,TX,(945) 266-1166,MC1799744,4536812,,,,1,DISPATCH@ROADRUNNERINTERSTATETRANSPORT.COM
85,BOOTLEGGER LOGISTICS LLC,MCALLEN,TX,(956) 374-8938,MC1790077,4518405,,,,3,BOOTLEGGERLOGISTICS@GMAIL.COM
85,TTL TRANSPORT LLC,LOCKHART,TX,(512) 995-0713,MC1728706,4403144,,,,1,INFO@TTLTRANSPORTLLC.COM
85,YEEHAW LOGISTICS LLC,WAXAHACHIE,TX,(214) 695-2259,MC1800294,4537842,,,,1,YEEHAWLOGISTICS@GMAIL.COM
85,DOUBLE JDN LOGISTICS LLC,HEREFORD,TX,(806) 206-7402,MC1793713,4525577,,,,1,DOUBLEJDNLOGISTICS26@GMAIL.COM
85,IRON BRUTE LOGISTICS LLC,OVERTON,TX,(903) 987-0998,MC1802271,4541424,,,,1,INFO@IRONBRUTELOGISTICS.COM
85,MSO TRUCKING LLC,KERMIT,TX,(325) 274-5654,MC1715970,4357814,,,,1,DEYSIPS1962@GMAIL.COM
85,PANTERA GROUND LOGISTICS LLC,LAREDO,TX,(956) 334-2527,MC1744966,4433956,,,,3,OPS@PANTERAGROUNDLOGISTICS.NET
85,DJ TRANSPORT EXPRESS LLC,HOUSTON,TX,(832) 829-6902,MC1797057,4508047,,,,2,DJTRANSPORTEXPRESSLLC@GMAIL.COM
85,STARLIGHT LOGISTICS LLC,CELINA,TX,(469) 428-1660,MC1798322,4534155,,,,1,SIMONRAJU07@GMAIL.COM
85,KCCE TRANSPORT LLC,MISSION,TX,(971) 268-0316,MC1786168,4511408,,,,1,DIBENE.J@YAHOO.COM
85,MITCHELL TRANSPORT LLC,FORNEY,TX,(469) 901-0933,MC1739928,4330934,,,,1,MITCHELLTRANSPORT71@GMAIL.COM
85,HAULING MATTER LLC,SAN ANTONIO,TX,(210) 243-2104,MC1786678,4153866,,,,1,anthony.cardenas@haulingmatter.com
85,TLBJ EXPRESS LLC,HOUSTON,TX,(832) 969-8473,MC1802039,4540995,,,,1,TLBJEXPRESSLLC@GMAIL.COM
85,SOUTH FORK TRANSPORT LLC,DENTON,TX,(940) 275-6800,MC1784361,4508128,,,,1,ADMIN@SOUTHFORKTRANSPORT.COM
85,CHAMELEON TRUCKING SERVICES LLC,ODESSA,TX,(432) 231-2060,MC1792405,4210102,,,,4,ChameleonTrucking@yahoo.com
85,UNLIMITED GROUND LOGISTICS LLC,PECOS,TX,(936) 330-9667,MC1736174,4417370,,,,1,UNLIMITEDGROUNDLOGISTICSLLC@GMAIL.COM
85,ROGAZELLE LOGISTICS LLC,HOUSTON,TX,(832) 491-6502,MC1730497,4368539,,,,1,rogazellelogistics@HOTMAIL.COM
85,WRIGHT CARRIER SERVICES LLC,SPICEWOOD,TX,(702) 580-4790,MC1772553,4485947,,,,3,charline.lee@wrightconstructiongrp.com
85,MAXMOVE EXPRESS LLC,DALLAS,TX,(801) 471-9969,MC1734373,4413987,,,,1,MAXMOVEEX@GMAIL.COM
85,FIRST CLASS LOGISTICS LLC,SAN ANTONIO,TX,(832) 594-6165,MC1789602,4517887,,,,1,JOSHUALECESNE@GMAIL.COM
85,GUANABO TRANSPORT LLC,HOUSTON,TX,(346) 538-1257,MC1801389,4498964,,,,1,ABELSUAREZRABILERO@GMAIL.COM
85,AFS TRANSPORT LLC,SUMNER,TX,(625) 102-3941,MC1759613,4461650,,,,1,AFSTRANSPORTLLC1@OUTLOOK.COM
85,DIVINE PROVIDENCE LOGISTICS LLC,FULSHEAR,TX,(713) 565-2025,MC1742797,4429721,,,,1,SIMANA@DIVINEPROVIDENCELOGISTICS.COM
85,ATAL TRUCKING LLC,AUSTIN,TX,(512) 785-9025,MC1715293,4377179,,,,1,ATALTRUCKINGLLC@GMAIL.COM
85,GOOD SHEPHERD TRUCKING LLC,JOAQUIN,TX,(903) 263-4208,MC1773671,4488103,,,,1,GOODSHEPHERDTRUCKINGLLC@YAHOO.COM
85,SCK LOGISTICS LLC,FORT WORTH TX,TX,(817) 880-1512,MC1713474,4373752,,,,1,office@scklogistics.org
85,SAFE RUN TRANSPORT LLC,TOMBALL,TX,(832) 350-3910,MC1800860,4538850,,,,1,SAFERUNT@GMAIL.COM
85,JCJR TRUCKING LLC,EL PASO,TX,(915) 491-5041,MC1802560,4541976,,,,1,CONTACTOJCTRUCKINGLLC@GMAIL.COM
85,TANGO EXPRESS LLC,ODESSA,TX,(432) 967-1771,MC1802549,4541957,,,,1,MARTINLOGISTICSX@GMAIL.COM
85,MAGA EXPRESS LLC,ROCKFORD,IL,(779) 368-5165,MC570841,1532134,,,,7,magaexpress21@gmail.com
85,EE TRUCKING LOVE LLC,LOCUST GROVE,GA,(404) 484-8721,MC581969,947704,,,,2,eetruckingInfo@gmail.com
85,REDMAN TRUCKING LLC,ORLANDO,FL,(407) 484-3802,MC642227,1738202,,,,1,REDMAN_TRUCKING_LLC@YAHOO.COM
85,HMC LOGISTICS LLC,WEEKI WACHEE,FL,(813) 368-1314,MC661357,1822301,,,,1,hmclogisticsllc@YAHOO.COM
85,GARY PATTERSON TRUCKING LLC,GREENVILLE,PA,(724) 456-9064,MC680568,525147,,,,2,jmp1148@gmail.com
85,ELWAK TRANSPORT LLC,STONE MOUNTAIN,GA,(470) 985-6810,MC738173,1976640,,,,2,ELWAK.SHEIKH@GMAIL.COM
85,COLAMERICA TRUCKING LLC,ENGLEWOOD,NJ,(201) 937-2688,MC727614,2084754,,,,1,mail@col-america.com
85,ANGELINE EXPRESS LLC,BOCA RATON,FL,(561) 674-3465,MC746584,2146318,,,,1,AJAR561@GMAIL.COM
85,SAMS TRUCKING LLC,EXCELSIOR SPRINGS,MO,(816) 516-6184,MC749517,588855,,,,1,samstruckingllc@aol.com
85,ALL STAR TRANSPORT LLC,HUDSON,FL,(786) 206-7727,MC758753,1722394,,,,3,allstartransport2015@gmail.com
85,NEVER SEEN EXPRESS LLC,WINTER HAVEN,FL,(863) 934-8863,MC782407,2285506,,,,1,NEVERSEENEXPRESS@GMAIL.COM
85,LEES AUTO TRANSPORT LLC,HAMPSTEAD,NC,(910) 520-1115,MC776388,2273258,,,,1,kbd2858@gmail.com
85,BACKROADS TRUCKING LLC,COLUMBIAVILLE,MI,(810) 656-6965,MC810186,2363588,,,,1,BACKROADSTRUCKINGLLC@GMAIL.COM
85,SUPERMAN EXPRESS LLC,COLUQUITT,GA,(800) 296-2114,MC815473,2375778,,,,1,supermanexpressllc@gmail.com
85,SAFE LINE TRUCKING LLC,ALLENTOWN,PA,(484) 424-2053,MC815386,2375563,,,,1,DISPATCH@SAFELINETRUCKING.COM
85,JAMES GANG TRUCKING LLC,LAWNDALE,NC,(704) 466-9134,MC807859,2359277,,,,2,djames@jgt1873.com
85,DAVID LEE TRANSPORT LLC,MILFORD,IN,(574) 202-0162,MC797890,2336835,,,,1,DAVIDLEETRANSPORT@GMAIL.COM
85,RIDEOUT EXPRESS LLC,STATESVILLE,NC,(704) 999-3061,MC784356,2297037,,,,1,JRIDE5445@YAHOO.COM
85,MOONSTAR EXPRESS LLC,DAYTON,OH,(208) 371-5368,MC817338,2380041,,,,3,Moonstarexpress2013@gmail.com
85,LARRY LAKEY TRUCKING LLC,ALDRICH,MO,(417) 694-8012,MC819621,2385503,,,,5,LARRYLAKEY1965@GMAIL.COM
85,D ROB TRUCKING LLC,LITHIA SPRINGS,GA,(770) 905-3102,MC817382,2380115,,,,1,joyce_lgriffin@yahoo.com
85,AMERICAN EAGLE EXPRESS LLC,SPRINGBORO,OH,(937) 242-3579,MC833351,2419820,,,,1,AEAGLEEXPRESS@GMAIL.COM
85,MVS LOGISTICS LLC,NEWARK,NJ,(845) 624-9399,MC849306,2458723,,,,1,BRAD@MVSLOGISTICS.NET
85,JASMINE TRANSPORT LLC,YUBA CITY,CA,(530) 751-5172,MC903407,2580487,,,,1,JAGDEEPSINGH870.JS@GMAIL.COM
85,LO PRINGLEY TRANSPORT LLC,QUINCY,FL,(850) 445-9614,MC902926,2579597,,,,1,LORENZOPRINGLEY@YMAIL.COM
85,ICM LOGISTICS LLC,VINELAND,NJ,(609) 840-0002,MC914337,2628289,,,,4,loads@icmlogisticsgroup.com
85,TOTAL EXPRESS LLC,COVINGTON,GA,(678) 294-3961,MC903784,2581155,,,,1,SEREGA88T@YAHOO.COM
85,TERRY FEIJO TRUCKING LLC,TULARE,CA,(559) 686-6313,MC881321,2534707,,,,2,lucy@feijotruckingllc.com
85,HAMER TRUCKING LLC,STONE MOUNTAIN,GA,(678) 812-9964,MC915414,2630532,,,,2,KIBRON1@YAHOO.COM
85,HAWK TRUCKING LLC,SECAUCAS,NJ,(908) 377-0436,MC900052,2574060,,,,1,hawktruckingusa@gmail.com
85,CRABTREE FAMILY MOVING LLC,RALEIGH,NC,(919) 706-2679,MC887279,2507399,,,,10,CLIFF@CRABTREEfamilymoving.com
85,WJ LOGISTICS LLC,MARIETTA,GA,(404) 590-2134,MC886819,2547112,,,,1,WJLOGISTICS@YAHOO.COM
85,MZ LINE EXPRESS LLC,REPULIC,MO,(916) 642-6566,MC903877,2581382,,,,1,mzlineexpress@gmail.com
85,DOUBLE T TRANSPORT LLC,HARMONY,NC,(704) 450-5921,MC909442,1188460,,,,2,doublettransportation@hotmail.com
85,MARVEL EXPRESS LLC,LITHIA SPRINGS,GA,(678) 994-4644,MC927145,2781733,,,,5,operations@marvelexpress.com
85,BULLYS TRANSPORT LLC,BRANDON,FL,(908) 977-5678,MC945511,2830173,,,,2,BULLYSTRANSPORTFL@gmail.com
85,CLOUD EXPRESS LLC,WYOMISSING,PA,(484) 818-2931,MC995951,2943581,,,,2,CLOUDEXPRESS.PA@GMAIL.COM
85,DDA EXPRESS LLC,OZARK,MO,(417) 252-0412,MC962012,2869730,,,,1,DDAEXPRESS01@GMAIL.COM
85,DRIVELINE TRANSPORT LLC,SNELLVILLE,GA,(770) 688-0885,MC994382,2940773,,,,1,DRIVELINETRANSPORT@GMAIL.COM
85,LACD TRUCKING LLC,SALIDA,CA,(209) 840-2639,MC982827,2916549,,,,1,Tuneco79@yahoo.com
85,ASY TRUCKING LLC,HARRISBURG,PA,(717) 999-3319,MC069481,3086369,,,,7,ASY.TRUCKING@GMAIL.COM
85,OGANDO TRANSPORT LLC,GASTONIA,NC,(980) 888-6562,MC070790,3088850,,,,2,ogandotransportation247@gmail.com
85,DON GUITO LOGISTICS LLC,EAST WINDSOR,NJ,(609) 955-6162,MC114135,3165366,,,,1,dispatch@dglcarrier.com
85,BLUE SKY EXPRESS LLC,DELRAN,NJ,(609) 304-5524,MC037140,3026395,,,,12,Sarisin_m@hotmail.com
85,BFF TRANSPORT LLC,WAYNESBORO,GA,(706) 871-5753,MC049775,3050934,,,,1,BFFTRANSPORT@YAHOO.COM
85,ALMODOVAR TRUCKING LLC,CALEXICO,CA,(760) 604-5942,MC063350,3074991,,,,8,ALMODOVARTRUCKING@GMAIL.COM
85,NISMO TRUCKING LLC,PORT ST LUCIE,FL,(973) 934-3055,MC081891,3109441,,,,1,NISMOTRUCKINGLLC@YAHOO.COM
85,D F LOGISTICS LLC,CHARLOTTE,NC,(530) 605-2090,MC091307,3127502,,,,10,DFRASIER@DFLLLC.COM
85,RANCHO GENARA TRANSPORT LLC,EDISON,NJ,(732) 621-9340,MC074016,3094832,,,,2,FREDDY22SURIEL@GMAIL.COM
85,JUMAM TRANSPORT LLC,BANGOR,PA,(347) 591-8008,MC023351,2999596,,,,1,urbanoperalta81@gmail.com
85,DELTA TRUCKING LLC,ARNOLD,MO,(314) 398-2112,MC071159,3089518,,,,6,DELTATRUCKINGG@GMAIL.COM
85,DRG TRUCKING LLC,SAN TAN VALLEY,AZ,(480) 440-0430,MC071363,2566699,,,,1,RAMONLOPEZDRG@GMAIL.COM
85,BUTZ TRUCKING LLC,CORONA,CA,(951) 271-6506,MC015557,2983750,,,,2,Butztruckingllc@gmail.com
85,JAHOUR TRANSPORT LLC,LEWIS CEN,OH,(620) 757-3095,MC064419,3076921,,,,12,JAHOURTRANSPORT3@GMAIL.COM
85,K PERRIN TRUCKING LLC,EVERETT,PA,(814) 799-3106,MC023469,2999816,,,,2,MM4PERRIN@GMAIL.COM
85,RIMAL TRUCKING LLC,PITTSBURGH,PA,(877) 782-0903,MC093206,3131164,,,,5,monrimal@rimaltrucking.com
