Company,City,State,Phone,MC_Number,DOT_Number,Called,Outcome,Notes
ANGELES SPECIALIZED CARRIERS INC,LAREDO,TX,(956) 740-5073,MC1017039,3239128,,,
T'S DELIVERY LLC,HOUSTON,TX,(281) 220-7941,MC1018167,3218912,,,
PRD EXPRESS TRANSPORT LLC,HUMBLE,TX,(407) 497-1590,MC1014342,3233693,,,
STATE2STATE TRUCKING LLC,KEMPNER,TX,(267) 401-0268,MC116844,3169120,,,
CARLOS CADENA TRUCKING LLC,PASADENA,TX,(832) 607-4918,MC1030435,3266289,,,
IMPERIAL CHARTERS LLC,MANSFIELD,TX,(214) 414-9041,MC1034947,3275884,,,
ASHABRANNER TRUCKING COMPANY LLC,MISSION,TX,(956) 560-1743,MC1019319,3243680,,,
BYK EXPRESS LLC,IRVING,TX,(469) 435-9482,MC1034073,3229290,,,
RELENTLESS LOGISTICS AND TRANSPORT LLC,DALLAS,TX,(469) 826-1705,MC1015476,3235954,,,
OSL TRANSPORT LLC,LAREDO,TX,(903) 537-0060,MC1028354,3261785,,,
MIM EXPRESS LLC,CLEVELAND,TX,(832) 356-8360,MC1001647,3208969,,,
G&W EXPRESS LLC,LAREDO,TX,(323) 302-1023,MC1039210,3284835,,,
ROME TRANSPORTATION LLC,BROWNSVILLE,TX,(956) 755-8322,MC1020898,3246690,,,
AMAN TRANSPORT LLC,DALLAS,TX,(972) 757-0482,MC1042503,3291752,,,
ISMAEL ANTONIO ROSALES,MANVEL,TX,(714) 981-0561,MC1112713,3004434,,,
TMS TRANSPORTER LLC,PUTNAM,TX,(682) 374-6556,MC1140033,3477232,,,
SHORT TIME TRANSPORTATION LLC,LUFKIN,TX,(936) 675-0364,MC1155704,3501222,,,
CROSS B CATTLE COMPANY,STEPHENVILLE,TX,(254) 485-2440,MC1095507,3400288,,,
THE GREENER THINGS LLC,DALLAS,TX,(469) 720-3797,MC1073610,3354655,,,
TRIPLE H TRUCKING & LOGISTICS LLC,NACOGDOCHES,TX,(713) 412-4010,MC1089660,3390688,,,
H EXPRESS LLC,SPRING,TX,(303) 570-1582,MC1097074,3405809,,,
CHEETAH  AUTO  TRANSPORT LLC,PHARR,TX,(786) 803-5595,MC1094623,3400810,,,
D AND Y PIRATES OF THE CARIBBEAN TRANSPORT LLC,MANOR,TX,(707) 514-9287,MC1072125,3352659,,,
R AND H TRUCKING LLC,RICHARDSON,TX,(469) 427-5665,MC1086789,3384531,,,
BRUNOIS TRUCKING II LLC,PORTER,TX,(337) 541-8919,MC1160407,3508340,,,
SOUTHERN HEAVY HAUL LOGISTICS INC,LAREDO,TX,(956) 327-5805,MC1141311,3479268,,,
CHISHOLM TRAIL TRUCKING LLC,JOSHUA,TX,(972) 310-9964,MC1093934,3399400,,,
MAXX TRUCK LLC,FRIENDSWOOD,TX,(281) 701-1078,MC1094083,3399686,,,
MARQUIA ACY,TYLER,TX,(903) 570-4680,MC1054043,3312849,,,
WINNERSCIRCLE TRANSPORT LLC,HOUSTON,TX,(713) 440-8310,MC1093614,3398775,,,
2 J TRANSPORTATION LLC,CORSICANA,TX,(405) 482-8181,MC1072180,2366999,,,
FAST AND EASY INC,HOUSTON,TX,(832) 294-1041,MC1104192,3418165,,,
MONARCA TRANSPORT LLC,EAGLE PASS,TX,(830) 776-6066,MC1071051,3350424,,,
KLH FREIGHT LLC,MONTGOMERY,TX,(479) 871-1002,MC1130459,3462132,,,
CJ EXPRESS TRUCKING LLC,HASLET,TX,(214) 918-0486,MC1093266,3398050,,,
WINTA TRUCKING 1 LLC,HOUSTON,TX,(281) 777-4028,MC1120412,3445877,,,
MOCHIMA LLC,HUTTO,TX,(346) 970-7103,MC1050091,3288491,,,
JETAIRO SHORT HAUL TRUCKING LLC,HEMPSTEAD,TX,(832) 232-2451,MC1093212,3397925,,,
SWITCH MC LLC,HOUSTON,TX,(786) 546-7366,MC1093965,3399459,,,
NEW BEGINNINGS TRUCKING LLC,AUBREY,TX,(318) 458-8025,MC1114244,3222268,,,
TRANS TRANSPORT SERVICES LLC,LAREDO,TX,(956) 337-4612,MC1082649,3259470,,,
BOBBY MITCHELL,HOUSTON,TX,(713) 875-9756,MC1091936,1980384,,,
SIRKINGS TRANSPORT AND LOGISTICS LLC,SAN MARCOS,TX,(512) 689-1735,MC1094080,3399683,,,
CARTER CAIN HOTSHOTS LLC,HOUSTON,TX,(832) 960-8248,MC1041111,3288806,,,
TRUCKA USA LLC,LAREDO,TX,(956) 615-5962,MC1115141,3436907,,,
FANTASMA COMPANY TRUCKING,SEAGOVILLE,TX,(661) 474-9941,MC1062261,2721592,,,
100 CORPORATION LLC,LAREDO,TX,(956) 324-3947,MC1053985,3315540,,,
JC INTEGRITY SOLUTIONS TEXAS LLC,ARLINGTON,TX,(214) 251-3873,MC1062939,3333011,,,
UNIVERSAL DELIVERY SOLUTIONS INC,FAIRFIELD,TX,(832) 470-1234,MC1113861,3434750,,,
JR LINE TRUCKING INC,SAN ANTONIO,TX,(210) 850-5681,MC1072107,3295864,,,
EDASO LOGISTICS LLC,BENBROOK,TX,(817) 948-6446,MC1143956,3262254,,,
G24 TRUCKING LLC,LAREDO,TX,(956) 744-6020,MC1134941,3469130,,,
SATCHELL ENTERPRISES LLC,ARLINGTON,TX,(972) 854-3075,MC1146380,3487018,,,
ANTONIO RODRIGUEZ,TEMPLE,TX,(254) 913-6072,MC1126897,3456516,,,
LEO CARRIERS INC,SACHSE,TX,(945) 227-4794,MC1137216,3472866,,,
BLUE STAR CARGO INC,MIDLAND,TX,(786) 778-0002,MC1143344,3482346,,,
ROMAN CARRIER LLC,PORTER,TX,(832) 853-5910,MC1148485,3330337,,,
DOUBLE TIME TRUCKING & SPOOLING LLC,ODESSA,TX,(432) 202-4703,MC1167668,3519448,,,
TURNKEY TEXAS LLC,HOUSTON,TX,(281) 753-7431,MC1198621,3564792,,,
JCS OILFIELD SERVICES LLC,CARTHAGE,TX,(903) 754-2147,MC1199410,3565883,,,
URBINA TRUCKING LLC,LAREDO,TX,(956) 786-9523,MC1220415,3561527,,,
BCT LOGISTICS LLC,BULLARD,TX,(361) 541-9400,MC1238531,3623354,,,
KIRSAAN LOGISTICS INCORPORATED,SPRING,TX,(713) 269-2593,MC1198989,3565293,,,
ACA EXPRESS & LOGISTICS LLC,CHANNELVIEW,TX,(308) 227-8611,MC1182921,3541897,,,
MICHAEL ODEY'S TRUCKING LLC,AUSTIN,TX,(469) 253-6333,MC1252843,3643288,,,
K-DAWN TRUCKING LLC,MINERAL WELLS,TX,(817) 455-0480,MC1244780,3632301,,,
TRANSCON CAPITAL LLC,LUBBOCK,TX,(806) 789-5131,MC1262162,3656170,,,
GALVAN FREIGHT XPRESS LLC,EL PASO,TX,(915) 383-8765,MC1234210,3617166,,,
GERARDO V GONZALEZ,HIDALGO,TX,(661) 497-9001,MC1191349,2742195,,,
EMPIRE JS LOGISTICS LLC,ANNA,TX,(903) 278-6267,MC1190826,3553351,,,
OSMAR RUIZ,WESLACO,TX,(956) 279-8297,MC1201718,3569248,,,
ROADWAY FREIGHT LLC,KATY,TX,(346) 205-4148,MC1229997,3611027,,,
PBI INTERNATIONAL LLC,LAPORTE,TX,(346) 361-0800,MC1182699,3541586,,,
RDCS TRUCKING SERVICES LLC,HOUSTON,TX,(832) 874-1487,MC1263132,3657453,,,
DHK EXPRESS LLC,FORNEY,TX,(469) 877-3593,MC1243533,3630365,,,
TEXAS INTERSTATE TRUCKING LLC,HOUSTON,TX,(832) 888-7111,MC1229384,3610140,,,
AMERICAN SUCCESSFUL TRUCKING LLC,FORTH WORTH,TX,(817) 994-7184,MC1180541,3538475,,,
STN TRUCKING LLC,SAN ANTONIO,TX,(210) 762-0159,MC1198734,3564939,,,
CONTINENTAL LOGISTICS TRANSPORT INC.,CLEVELAND,TX,(414) 915-3433,MC1237401,3621735,,,
BLESSED AUTOMOBILES AND LOGISTICS LLC,KATY,TX,(929) 257-5111,MC1198273,3564308,,,
RENDON GLOBAL LOGISTICS LLC,RIO GRANDE CY,TX,(956) 256-8385,MC1200963,3568136,,,
WILSON & SON PUMPING LLC,VAN,TX,(817) 471-7211,MC1213597,3586973,,,
ALMY2 LOGISTICS & TRANSPORT LLC,LAGO VISTA,TX,(786) 636-5982,MC1260874,3654370,,,
KING OF FIRE LLC,KATY,TX,(512) 412-8903,MC1197374,3562998,,,
UNITED LOGISTICS INC,CYPRESS,TX,(713) 894-9241,MC1178942,3536079,,,
INSTANT TRANSMISSION LOGISTICS INC,SAN ANTONIO,TX,(559) 917-8182,MC1321871,3737675,,,
A VALDEZ LOGISTICS LLC,HOUSTON,TX,(832) 438-7349,MC1264468,3659320,,,
AWDAL TRANSPORTATION LLC,HOUSTON,TX,(832) 715-5317,MC1268898,3665403,,,
ROMOVO LLC,DEL VALLE,TX,(512) 956-4707,MC1296342,3702834,,,
4C ENERGY SERVICES LLC,MIDLAND,TX,(432) 413-5183,MC1271506,3669012,,,
ALLWAY TRANS LLC,SACHSE,TX,(520) 481-3324,MC1289040,3692894,,,
LGN TRUCKING EXPRESS LLC,EL PASO,TX,(305) 927-4065,MC1280094,3673338,,,
AGILE EXPRESS LLC,FRISCO,TX,(909) 499-1408,MC1383157,3821739,,,
J TEAM TRANSPORT LLC,CONROE,TX,(936) 218-4992,MC1309326,3720481,,,
JACOBO ANTONIO CENTENO,DALLAS,TX,(469) 569-6192,MC1267316,3379557,,,
ARMY TRANSPORT LLC,IRVING,TX,(214) 699-8022,MC1266453,3662002,,,
D1TRANSPORTATION LLC,ROSENBERG,TX,(281) 857-9667,MC1285454,3687957,,,
JARD ENTERPRISES LLC,LIBERTY HILL,TX,(737) 808-6826,MC1349345,3775237,,,
BJAY LOGISTICS LLC,DENTON,TX,(281) 372-9633,MC1343609,3767405,,,
NSHU TRANSPORTATION LLC,LAREDO,TX,(956) 949-0595,MC1349954,3776031,,,
JIPSA LLC,SEMINOLE,TX,(432) 788-4206,MC1307077,3717373,,,
"SAMBO'S TRUCKING & LOGISTICS, LLC",DICKINSON,TX,(281) 832-3909,MC1350876,3777323,,,
HUSBAND&WIFE TRANSPORTATION LLC,AUBREY,TX,(619) 932-0881,MC1266205,3661657,,,
KSR LOGISTICS INC,SAN ANTONIO,TX,(612) 404-8362,MC1330236,3749183,,,
KALU LOGISTICS LLC,ROUND ROCK,TX,(737) 900-9025,MC1318219,3732630,,,
BISHOP TANK LINES ENTERPRISES LLC,ARLINGTON,TX,(817) 714-3343,MC1335766,3756674,,,
CALE INTERNATIONAL LOGISTICS LLC,EAGLE PASS,TX,(830) 469-5909,MC1296843,3703527,,,
ABRAHAM EXPRESS LLC,HOUSTON,TX,(781) 990-9060,MC1359778,3789689,,,
FYASA USA LLC,HIDALGO,TX,(956) 322-8180,MC1315704,3729155,,,
A&Y BROTHERS TRUCKING LLC,KATY,TX,(281) 662-1365,MC1334837,3755462,,,
D.A.R. TRANSPORTATION LLC,NIXON,TX,(512) 813-1758,MC1266374,2199484,,,
MONREAL TRUCKING LLC,FRIONA,TX,(806) 346-3541,MC1268159,3275321,,,
TIA RYHAN TRUCKING LLC,MELISSA,TX,(210) 724-0152,MC1419845,3874951,,,
MC&J LOGISTICX LLC,ZAPATA,TX,(956) 422-1061,MC1366781,3799200,,,
BROTHERS D AND A TRUCKING LLC,NEW CANEY,TX,(346) 775-8289,MC1426696,2917527,,,
H BROWN EXPRESS LLC,EDINBURG,TX,(956) 929-7282,MC1453501,3925774,,,
M TX SERVICES LLC,MIDLAND,TX,(432) 661-3828,MC1440515,3905452,,,
I AM SUCCESS LLC,HUMBLE,TX,(832) 309-0375,MC1473907,2948239,,,
2CG SPECIALIZED TRANSPORTATION LLC,LAREDO,TX,(956) 382-2826,MC1449714,3920098,,,
MCQUEEN LOGISTICS LLC,FORT WORTH,TX,(682) 310-7000,MC1459807,3935277,,,
MAGA TRANSPORTATION LLC,LAREDO,TX,(956) 401-4920,MC1461154,3937326,,,
MARSAN TRANSPORTATION LLC,BROWNSVILLE,TX,(956) 521-4804,MC1431709,3892798,,,
EBU LOGISTICS LLC,GARLAND,TX,(920) 204-3183,MC1452837,3924790,,,
PERMIAN VAC SERVICES LLC,MONAHANS,TX,(432) 634-4184,MC1477565,3961542,,,
M&R EXPRESS INC,VINTON,TX,(915) 207-5365,MC1399134,3844322,,,
BLACKBURN 3 TRANSPORT LLC,PAMPA,TX,(806) 433-8460,MC1382172,3820293,,,
KALIX RULLIER TRANSPORT LLC,HOUSTON,TX,(832) 730-8153,MC1435823,3863480,,,
LOGISTICS & CONTAINERS OF TEXAS LLC,HOUSTON,TX,(346) 227-2105,MC1415914,3865677,,,
HAY HAULER TRUCKING LLC,PASADENA,TX,(832) 909-9664,MC1410960,3861783,,,
UNITED BROS CARGO LLC,KATY,TX,(832) 938-2557,MC1412119,3863503,,,
OPTIMUS GLOBAL TRANSPORT LLC,KINGWOOD,TX,(832) 445-9397,MC1387198,3827468,,,
MDM TRANSPORTATION LLC,GRAND PRAIRIE,TX,(214) 558-5250,MC1418189,3872433,,,
BEST EXPRESS LLC,HOUSTON,TX,(408) 744-2552,MC1399268,3844506,,,
LDH EXPRESS LLC,KATY,TX,(786) 301-1148,MC1411264,3414582,,,
BELEN XPRESS LLC,EL PASO,TX,(915) 800-6053,MC1469649,3949952,,,
BSA TRANSPORTATION LLC,SAN ANTONIO,TX,(210) 797-5029,MC1479330,3964205,,,
MALVEAUX MYLES TRUCKING INC,HOUSTON,TX,(281) 635-9564,MC1523094,4031251,,,
MAP IT LLC,FORT WORTH,TX,(817) 381-8210,MC1562261,4097336,,,
ZENA TRANSPORT LLC,KINGSWOOD,TX,(786) 760-6055,MC1552734,4081284,,,
UNLIMITED DIESEL TRUCKS LLC,PLANO,TX,(469) 753-9383,MC1514459,4017548,,,
TURBO KING TRUCKING LLC,LAREDO,TX,(956) 652-0764,MC1532731,4047102,,,
YEMA TRUCKING LLC,GARLAND,TX,(510) 200-3353,MC1521293,4028409,,,
MARATHON FRESH CORP,MERKEL,TX,(512) 614-7888,MC1565238,4102555,,,
TM PRESTIGE ENTERPRISES LLC,RICHMOND,TX,(346) 888-9789,MC1565517,4103044,,,
FAMILY FREIGHT WAY LLC,HOUSTON,TX,(907) 209-6305,MC1516809,3959082,,,
TORRE BLANCA TRANSPORT LLC,KERMIT,TX,(786) 564-8770,MC1531743,4045381,,,
HOSTILE LOGISTICS LLC,ODESSA,TX,(432) 202-4670,MC1560623,4094616,,,
2 ROUTES TRANSPORT LLC,LAREDO,TX,(956) 236-4343,MC1535459,4051675,,,
PASO DEL NORTE CARGO INC,CLINT,TX,(915) 319-4704,MC1530044,4042533,,,
JRS EXPERIENCE LLC,ARLINGTON,TX,(817) 507-8550,MC1487577,2909965,,,
LTD CARRIERS LLC,WESLACO,TX,(956) 648-1103,MC1546126,4070169,,,
TAW LAW TRUCKING,AMARILLO,TX,(806) 282-1288,MC1582497,4132065,,,
DCG CARRIERS LLC,LAREDO,TX,(956) 770-4777,MC1561732,4085587,,,
SIKA INTERNATIONAL LLC,EAGLE PASS,TX,(830) 335-0904,MC1549417,4075745,,,
RG HUNTSMAN LLC,EDINBURG,TX,(512) 743-8690,MC1568932,4108797,,,
DIRTY HAUL TRANSPORT LLC,WYLIE,TX,(469) 258-7452,MC1542494,4063836,,,
A&V TRANSPORT SERVICES LLC,SAGINAW,TX,(682) 338-2036,MC1537004,4054311,,,
STRAIGHTLINE TRANSPORTERS LLC,HOUSTON,TX,(832) 495-3422,MC1524087,4032861,,,
SOMBREROS TRANSPORT LLC,LAREDO,TX,(956) 775-3060,MC1539530,4058642,,,
INNOVATE EXPRESS LLC,SAN ANTONIO,TX,(616) 426-0986,MC1538430,4056696,,,
MJM EXPRESS TRANSPORTION LLC,TOMBALL,TX,(346) 255-6685,MC1521994,4029554,,,
CATRA HOTSHOT LLC,CLEVELAND,TX,(832) 805-5514,MC1499906,3995139,,,
LMW GLOBAL SOLUTIONS LLC,HOUSTON,TX,(409) 659-4880,MC1487571,3976560,,,
R&G TRANSPORTATION SERVICES AND LOGISTICS L.L.C.,MCALLEN,TX,(956) 563-3420,MC1505595,4003857,,,
"T2D LOGISTICS, LLC",BEAUMONT,TX,(409) 338-1883,MC1500068,3994106,,,
TEXAS TASK-FORCE TRANSPORTATION LLC,CIBOLO,TX,(830) 305-5495,MC1563218,4098981,,,
PRO COASTAL TRANSPORT LLC,HOUSTON,TX,(832) 859-8868,MC1517961,4023085,,,
YON & AN LLC,MOUNTAIN HOME,TX,(918) 880-8819,MC1583320,4133533,,,
UMC LOGISTICS LLC,HOUSTON,TX,(346) 276-7747,MC1534542,4050194,,,
SB CARRIER LLC,HOUSTON,TX,(956) 962-2847,MC1515113,4018598,,,
NETWORK TRUCKING LLC,FORT WORTH,TX,(585) 704-5797,MC1577527,4123457,,,
VIMAC EXPRESS LLC,LAREDO,TX,(956) 327-9086,MC1497499,3991473,,,
PROGRESS TRUCKING LLC 1,ODESSA,TX,(432) 231-3189,MC1520872,2942261,,,
EPIC SYSTEM TECHNOLOGIES INC,HUTCHINS,TX,(903) 388-2294,MC1566681,3714418,,,
ANDRES RAMIREZ,EL PASO,TX,(915) 330-4601,MC1519658,4025824,,,
IVAN H EXPRESS LLC,KATY,TX,(832) 322-3167,MC1521474,4028722,,,
WE DELIVER IN STYLE TRUCKING LLC,HOUSTON,TX,(281) 751-9340,MC1557112,4088755,,,
PRESTIGIOUS LOGISTICS LLC,GLADEWATER,TX,(913) 549-2146,MC1531376,3722418,,,
RBL LOGISTICS LLC,LAREDO,TX,(214) 293-9356,MC1543348,4065329,,,
JBL CARRIERS LLC,WESLACO,TX,(956) 650-8542,MC1534667,4050400,,,
KOTA EX LLC,MANSFIELD,TX,(682) 582-3032,MC1486610,3975068,,,
SPECIALIZED FREIGHT SYSTEMS LLC,SPRING,TX,(281) 825-2584,MC1586571,4139031,,,
INCORPORATE BY 4B INC,AUBREY,TX,(614) 506-2977,MC1588824,4142903,,,
THELZA INTERNATIONAL LLC,LAREDO,TX,(956) 267-6861,MC1624955,4199430,,,
TEXAS RANGERS LOGISTICS LLC,HOUSTON,TX,(832) 270-9992,MC1651358,4257657,,,
AMERIVENZ TRANSPORT LLC,EVANT,TX,(908) 536-4930,MC1589603,4144269,,,
R L AMERICA TRUCKING LLC,LAREDO,TX,(956) 602-6505,MC1643455,3783543,,,
GARZA TRUCK LINE INC,LAREDO,TX,(812) 381-9707,MC1668922,4289779,,,
MERIDIAN TRUCKING LLC,MIDLAND,TX,(432) 661-3999,MC1588298,4142003,,,
NEMURYS MARTINEZ DOMINGUEZ,KATY,TX,(813) 900-5689,MC1646629,3445390,,,
PANDA CONSTRUCTION & TRUCKING LLC,HOUSTON,TX,(713) 256-8754,MC1588882,4142991,,,
DREAMS2REALITY TRUCKING LLC,TRINITY,TX,(832) 921-4633,MC1642519,4241303,,,
E & E EXPRESS LOGISTICS LLC,FATE,TX,(929) 267-9626,MC1695925,4340649,,,
SALINA NATION LOGISTICS LLC,HOUSTON,TX,(832) 562-8271,MC1660177,4273757,,,
KHALIFA GROUP TRANSPORTATION LLC,HOUSTON,TX,(862) 423-0163,MC1661193,4272906,,,
MIGUE LOGISTICS LLC,ROUND ROCK,TX,(512) 783-5017,MC1673131,3841133,,,
ZIG LOGISTICS LLC,HOUSTON,TX,(346) 426-7201,MC1696491,4341730,,,
MARDINI LLC,ALLEN,TX,(469) 270-3427,MC1670172,4291961,,,
TRUCKING KRISS LLC,HOUSTON,TX,(713) 614-3490,MC1626888,4207879,,,
PHIAZ LOGISTIC LLC,MIDLOTHIAN,TX,(858) 285-8615,MC1593467,4148468,,,
DRS TRANSPORTATION LLC,DALLAS,TX,(281) 201-0605,MC1631497,4220978,,,
L & B KINGZ TRANSPORTATION LLC,HOUSTON,TX,(832) 544-0861,MC1623476,4206137,,,
A&C3 LOGISTICS LLC,ARLINGOTN,TX,(682) 448-6672,MC1623824,3982319,,,
RP TRANSPORT LLC,MISSION,TX,(956) 997-1090,MC1670008,4202109,,,
JE LOGISTICS GROUP INC,MISSOURI CITY,TX,(682) 415-3375,MC1667893,4287847,,,
