"dot_number","company_name","state","citation_year","dr_fitness_viols","vh_maint_viols","total_inspections","violation_type","violation_feature"
"925581","SANDRA PATRICIA CASANOVA GUILLEN","TX","2026","22","1350","352","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"428823","KNIGHT TRANSPORTATION INC","CA","2026","19","1329","879","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"690147","GULF WINDS INTERNATIONAL INC","TX","2026","13","1294","565","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3910464","PETROLIFICOS DE MONTERREY SA DE CV","TX","2025","5","1270","388","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2085308","AUTOFLETES GOMEZ LEAL SA DE CV","TX","2026","22","1252","466","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1207678","RGX TRANSPORTE DE CARGA INTERNACIONAL SA DE CV","TX","2026","32","1232","293","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1759246","AUTOTRANSPORTE CA-RI SA DE CV","TX","2026","67","1186","576","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3240043","LINEA AMERICA TRANSPORTE S DE RL DE CV","TX","2026","49","1183","373","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"710383","TRANSPORTES DE MAQUILAS DE CD JUAREZ SA DE CV","TX","2026","32","1168","377","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2412786","TRAREYSA SA DE CV","TX","2026","50","1134","549","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"824454","TRANSPORTES SOTO E HIJOS S A DE C V","TX","2026","61","1118","416","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"624695","SERVICIO BINACIONAL DE TRANSPORTE RAMOS SA DE CV","TX","2026","36","1113","428","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"851574","FLETES Y ACARREOS DE REYNOSA SA DE CV","TX","2026","25","1122","432","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"53467","WERNER ENTERPRISES INC","CA","2026","15","1127","789","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"650990","TRANSPORTES LYRMA DE CD JUAREZ SA DE CV","TX","2026","38","1087","368","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3346939","AUTOLINEAS PERZA SA DE CV","TX","2026","113","993","529","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1738904","SMYRNA READY MIX CONCRETE LLC","TX","2026","22","1074","489","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2389566","JULIO CESAR CIENFUEGOS GARZA","TX","2026","26","1059","283","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2894017","NICOLAS FLORES BENAVIDES","TX","2026","7","1028","248","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1877140","SELECT DEDICATED SOLUTIONS LLC","TX","2026","55","976","516","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"558790","TRANSERVICIOS SA DE CV","TX","2026","30","995","354","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2289992","JOSE ALONSO SARMIENTO TORRES","TX","2026","43","980","295","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"558117","ECO TRANSPORTES INTERNACIONALES SA DE CV","TX","2026","34","974","352","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3152868","SOPORTE Y SERVICIOS EN PRODUCTOS INDUSTRIALES S DE RL DE CV","TX","2026","25","964","357","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1650005","DORA ALICIA GALLEGOS ROMAN","TX","2026","10","965","255","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2030833","CELEDONIO CASTILLO BENAVIDES","TX","2026","21","953","214","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2937836","PEDRO ESPINO DIAZ","TX","2026","13","953","168","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"354406","FIRST STUDENT INC","CA","2026","1","956","782","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1173203","ROCIO KARINA GUTIERREZ DE HOYOS","TX","2026","15","941","356","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"820981","TRANSPORTE INTERNACIONAL JONICK LOPEZ SA DE CV","TX","2026","26","926","308","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3866620","BRENDA LIZETH GALINDO WAGNER","TX","2026","29","916","204","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"683624","SERGIO ROBERTO GONZALEZ LANDA","TX","2026","26","914","223","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1806071","ALMA LUZ SANTOS SALDIVAR","TX","2026","27","912","237","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3005565","JESUS GILBERTO GALVAN MENDOZA","TX","2026","7","928","238","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"258923","FLETES SOTELO SA DE CV","TX","2026","58","875","479","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"50484","PRICE TRANSFER INC","CA","2026","0","927","576","Vehicle Inspection and Maintenance Records","FileFlo tracks annual inspection certificates, DVIR records, and maintenance logs for every vehicle in your fleet with automatic renewal alerts."
"2472739","JORGE ANTONIO SEPULVEDA","TX","2026","72","845","230","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2828651","4G TRANSFER US-MEX SA DE CV","TX","2026","17","900","200","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2511762","OSCAR GUILLERMO JURAIDINI SILVA","TX","2026","8","898","306","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"92693","BENNETT MOTOR EXPRESS LLC","TX","2026","7","895","407","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"469756","KAG ENERGY LLC","TX","2026","7","871","450","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"661173","CENTRAL TRANSPORT LLC","CA","2026","19","853","511","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"689929","SERVICIO INTERNACIONAL DE LOGISTICA Y TRANSPORTE SA DE CV","TX","2026","64","804","492","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3706","NEW PRIME INC","CA","2026","29","838","648","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3459105","SOLUCIONES LOGISTICAS DEL NORTE SA DE CV","TX","2026","18","848","369","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"909856","FLORENCIO GARCIA RUVALCABA","TX","2026","20","845","279","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"4070075","ISABEL CRISTINA PEREZ GARCIA","TX","2026","16","846","119","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3300200","ELITE FREIGHTWAYS LLC","TX","2026","9","852","296","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"52767","ACME TRUCK LINE INC","TX","2026","8","852","307","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1718446","NUMBER ONE EXPEDITE S DE RL DE CV","TX","2026","64","789","399","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"559151","ROLANDO VILLANUEVA NAVARRO","TX","2026","20","824","404","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"53773","CRST EXPEDITED INC","CA","2026","8","830","531","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"557870","EXPRESS TRES FRONTERAS SA DE CV","TX","2026","32","802","317","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3934456","MIGUEL ANGEL VAZQUEZ MELENDEZ","TX","2026","21","804","152","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"811385","PATRICIA ROBLES LOZOYA","TX","2026","25","788","284","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"303024","US XPRESS INC","FL","2026","9","801","543","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"286600","UV LOGISTICS LLC","TX","2026","2","807","320","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2203204","TEXAS CHROME TRANSPORT INC","TX","2026","7","797","200","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3574722","JESUS ESTEBAN LUGO PINALES","TX","2026","50","751","255","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"666090","FLETES MARSA INTERNACIONAL SA DE CV","TX","2026","17","780","274","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3187987","EBI TRANSFERS SA DE CV","TX","2026","12","778","221","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3524907","ANTRIAVI SA DE CV","TX","2026","49","739","320","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1747093","NATIONAL DRAYAGE SERVICES DE LLC","TX","2026","4","782","266","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1419409","MARIO ALBERTO TREJO","TX","2026","17","768","155","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1582957","BALI EXPRESS SERVICES INC","CA","2026","22","760","416","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"643366","MARTIN FRANCISCO CAMPOS PEREZ","TX","2026","23","735","282","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"632832","IRASEMA MARTINEZ CEPEDA","TX","2026","16","738","274","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"881925","TRANSPORTES LORO SA DE CV","TX","2026","18","722","206","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3782627","TRANSPORTES Y MAQUINARIA MORO SA DE CV","TX","2026","24","710","146","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"292991","IMC LOGISTICS LLC","CA","2026","2","731","376","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1969810","SUSTAITA CARGO SA DE CV","TX","2026","24","707","274","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1582105","GERARDO AGUILAR GARCIA","TX","2025","25","706","230","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3601721","TOP NOTCH TRANSIT LLC","TX","2026","7","723","162","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"4115507","ROSDEL LOGISTIC SA DE CV","TX","2025","14","714","220","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2529923","LAURA ESTELA ESTRADA GARZA","TX","2026","19","707","192","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"742397","FLETES INTERNACIONALES DE COSS SA DE CV","TX","2026","19","703","272","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"653535","AUTO EXPRESS SALDIVAR SA DE CV","TX","2026","32","688","314","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"63391","GREENWOOD MOTOR LINES INC","CA","2026","9","697","485","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3886704","TNE SA DE CV","TX","2026","33","672","206","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"3210458","LUCA AUTOTRANSPORTES SA DE CV","TX","2026","18","682","238","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2536024","SERVICIOS GLOBALES DE LOGISTICA MAYA SA DE CV","TX","2026","14","683","223","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
